"city","city_ascii","state_id","state_name","county_fips","county_name","county_fips_all","county_name_all","lat","lng","population","density","source","military","incorporated","timezone","ranking","zips","id"
"Roy","Roy","WA","Washington","53053","Pierce","53053","Pierce","46.9971","-122.5423","820","652","polygon","FALSE","TRUE","America/Los_Angeles","3","98580","1840019856"
"Oso","Oso","WA","Washington","53061","Snohomish","53061","Snohomish","48.2836","-121.9237","212","29","polygon","FALSE","FALSE","America/Los_Angeles","3","98223","1840018374"
"Marblemount","Marblemount","WA","Washington","53057","Skagit","53057","Skagit","48.5378","-121.4346","0","0","polygon","FALSE","FALSE","America/Los_Angeles","3","98267","1840017315"
"Elk Plain","Elk Plain","WA","Washington","53053","Pierce","53053","Pierce","47.0448","-122.3671","14280","716","polygon","FALSE","FALSE","America/Los_Angeles","3","98387 98338","1840037546"
"Burlington","Burlington","WA","Washington","53057","Skagit","53057","Skagit","48.4677","-122.3298","8783","792","polygon","FALSE","TRUE","America/Los_Angeles","3","98233","1840018367"
"Bangor Base","Bangor Base","WA","Washington","53035","Kitsap","53035","Kitsap","47.7227","-122.7146","6358","221","polygon","TRUE","TRUE","America/Los_Angeles","3","98315","1840036750"
"Beaux Arts Village","Beaux Arts Village","WA","Washington","53033","King","53033","King","47.5854","-122.2009","326","1524","polygon","FALSE","TRUE","America/Los_Angeles","3","98004","1840019838"
"Port Gamble Tribal Community","Port Gamble Tribal Community","WA","Washington","53035","Kitsap","53035","Kitsap","47.8487","-122.5571","920","83","polygon","FALSE","TRUE","America/Los_Angeles","3","98346","1840042014"
"Olympia","Olympia","WA","Washington","53067","Thurston","53067","Thurston","47.0417","-122.8959","196078.0","1092","polygon","FALSE","TRUE","America/Los_Angeles","2","98501 98502 98506 98504 98507 98508 98511","1840019865"
"East Wenatchee","East Wenatchee","WA","Washington","53017","Douglas","53017","Douglas","47.4172","-120.2809","13983","1425","polygon","FALSE","TRUE","America/Los_Angeles","3","98802","1840019795"
"Addy","Addy","WA","Washington","53065","Stevens","53065","Stevens","48.3588","-117.8372","96","105","polygon","FALSE","FALSE","America/Los_Angeles","3","99101","1840025238"
